BookingID,MembershipID,HotelID,BookingDate,CheckInDate
B00001,MS0674,H048,2025-05-03,2025-07-20
B00002,MS0491,H038,2024-12-25,2025-01-13
B00003,MS0117,H033,2024-03-24,2024-06-12
B00004,MS0142,H048,2024-09-23,2024-10-20
B00005,MS0008,H032,2025-03-18,2025-04-13
B00006,MS0406,H020,2024-11-08,2024-12-17
B00007,MS0311,H034,2024-03-27,2024-06-13
B00008,MS0978,H041,2025-09-28,2025-10-28
B00009,MS1023,H020,2024-01-17,2024-04-13
B00010,MS0305,H048,2025-12-30,2026-03-22
B00011,MS1117,H011,2026-01-21,2026-02-16
B00012,MS0304,H021,2024-05-28,2024-08-08
B00013,MS0372,H034,2025-02-09,2025-04-08
B00014,MS0681,H003,2024-07-08,2024-09-28
B00015,MS0518,H004,2024-03-09,2024-05-13
B00016,MS0623,H038,2024-05-24,2024-07-09
B00017,MS0888,H035,2025-04-02,2025-05-01
B00018,MS0388,H034,2026-02-03,2026-02-24
B00019,MS0252,H027,2025-12-16,2026-02-10
B00020,MS0592,H010,2025-12-11,2026-03-03
B00021,MS0645,H047,2025-11-26,2026-02-03
B00022,MS0915,H044,2025-11-17,2026-01-27
B00023,MS0089,H039,2025-09-04,2025-11-29
B00024,MS0103,H009,2024-03-28,2024-04-14
B00025,MS0250,H007,2025-12-25,2026-02-23
B00026,MS0578,H039,2025-08-23,2025-09-02
B00027,MS1148,H014,2024-02-17,2024-05-07
B00028,MS0659,H025,2024-07-29,2024-08-07
B00029,MS1122,H002,2024-01-10,2024-01-23
B00030,MS0289,H042,2025-11-14,2025-12-29
B00031,MS0350,H038,2024-06-12,2024-08-13
B00032,MS0260,H016,2024-11-05,2024-12-20
B00033,MS0960,H028,2025-07-25,2025-09-01
B00034,MS0682,H021,2025-06-01,2025-07-28
B00035,MS0344,H021,2025-12-01,2026-01-30
B00036,MS0392,H005,2024-08-05,2024-09-06
B00037,MS1125,H010,2025-02-25,2025-03-17
B00038,MS0208,H030,2025-04-03,2025-05-03
B00039,MS0125,H028,2024-06-14,2024-08-19
B00040,MS0651,H027,2025-04-23,2025-06-27
B00041,MS0257,H038,2024-07-29,2024-10-10
B00042,MS0972,H003,2024-05-22,2024-08-12
B00043,MS1038,H041,2026-01-01,2026-01-19
B00044,MS0070,H015,2026-02-19,2026-03-22
B00045,MS1000,H032,2025-03-03,2025-04-21
B00046,MS0851,H028,2025-10-08,2025-12-10
B00047,MS0500,H042,2024-06-22,2024-07-27
B00048,MS0532,H025,2024-08-31,2024-10-15
B00049,MS0886,H049,2024-12-28,2025-02-24
B00050,MS0464,H015,2025-07-07,2025-09-15
B00051,MS0052,H032,2026-02-12,2026-03-29
B00052,MS0220,H011,2025-06-07,2025-06-15
B00053,MS0998,H019,2025-10-22,2025-11-05
B00054,MS0136,H021,2025-01-30,2025-03-15
B00055,MS0312,H045,2024-09-19,2024-10-07
B00056,MS0477,H045,2024-03-23,2024-05-17
B00057,MS1145,H012,2025-05-26,2025-08-10
B00058,MS0724,H019,2025-11-28,2026-02-20
B00059,MS1182,H031,2026-01-23,2026-01-27
B00060,MS1132,H018,2025-06-26,2025-08-03
B00061,MS0208,H048,2025-07-25,2025-07-30
B00062,MS0535,H005,2025-08-11,2025-10-25
B00063,MS0701,H046,2024-04-25,2024-05-25
B00064,MS0953,H048,2026-02-27,2026-03-23
B00065,MS0578,H013,2024-08-07,2024-11-04
B00066,MS0236,H039,2025-07-05,2025-09-19
B00067,MS0819,H020,2025-12-28,2026-01-06
B00068,MS0149,H046,2024-02-24,2024-05-02
B00069,MS0723,H034,2024-10-20,2024-11-02
B00070,MS0278,H005,2024-04-23,2024-04-25
B00071,MS0609,H019,2025-09-04,2025-09-11
B00072,MS1060,H005,2024-10-06,2024-10-17
B00073,MS0804,H042,2025-04-24,2025-04-25
B00074,MS0688,H021,2025-02-10,2025-02-14
B00075,MS0875,H043,2024-03-06,2024-03-17
B00076,MS0140,H047,2024-02-08,2024-02-27
B00077,MS0086,H018,2024-09-24,2024-09-27
B00078,MS1199,H021,2025-03-18,2025-04-22
B00079,MS1004,H019,2025-08-29,2025-10-16
B00080,MS0206,H043,2024-02-09,2024-04-03
B00081,MS0093,H001,2024-09-06,2024-10-29
B00082,MS0844,H035,2025-08-16,2025-10-08
